"Protein IDs","Gene names","LFQ intensity KO_MITOS_22","LFQ intensity KO_MITOS_23","LFQ intensity KO_MITOS_24","LFQ intensity KO_TOTALS_22","LFQ intensity KO_TOTALS_23","LFQ intensity KO_TOTALS_24","LFQ intensity WT_MITOS_22","LFQ intensity WT_MITOS_23","LFQ intensity WT_MITOS_24","LFQ intensity WT_TOTALS_22","LFQ intensity WT_TOTALS_23","LFQ intensity WT_TOTALS_24"
"Q5UIP0-2;Q5UIP0","RIF1",0,5949700,12137000,18801000,17737000,46860000,0,4956000,5527100,19721000,27467000,28572000
"Q5VIR6;Q5VIR6-2;Q5VIR6-3;Q5VIR6-1","VPS53",0,2914900,6287200,5268000,6213800,18355000,0,9108500,6620400,6518700,5225400,6438100
"Q5VSL9;Q5VSL9-2;Q5VSL9-3","STRIP1",0,10964000,11430000,14897000,20451000,42275000,0,0,16479000,13639000,20810000,14635000
"Q5VST6;Q5VST6-2","ABHD17B",18413000,8893200,13782000,7262300,7865800,0,17718000,16135000,28956000,5594400,12078000,5397800
"Q5VT25-6;Q5VT25-2;Q5VT25;Q5VT25-5;Q5VT25-4;Q5VT25-3;Q09013-10;Q09013-1;Q09013-6;Q09013-12;Q09013;Q09013-15;Q09013-11;Q09013-7;Q09013-5;Q09013-8;Q09013-2;Q09013-16","CDC42BPA",22117000,58547000,58945000,11768000,15877000,39367000,22237000,26238000,25766000,10958000,12856000,0
"Q5VT52-3;Q5VT52;Q5VT52-2;Q5VT52-5;Q5VT52-4","RPRD2",0,7710100,0,24294000,14359000,30225000,0,0,0,16061000,20949000,18735000
"Q5VT66-2;Q5VT66;Q5VT66-3","MARC1",87547000,74638000,72049000,51854000,78401000,54568000,116640000,70836000,81174000,31479000,70411000,43454000
"Q5VTE6-2;Q5VTE6","ANGEL2",18163000,15113000,25190000,19185000,20008000,16363000,22742000,16239000,16371000,10369000,9027200,9558600
"Q5VTL8;Q5VTL8-2","PRPF38B",0,0,0,11541000,7042500,12494000,0,0,0,7854400,11684000,9668100
"Q5VTR2","RNF20",0,27643000,10683000,13477000,9507000,159120000,13661000,13745000,0,14010000,8077400,5828700
"Q5VU43-13;Q5VU43-2","PDE4DIP",0,0,0,0,0,0,0,0,0,0,0,0
"Q5VUA4;Q5VUA4-2","ZNF318",0,0,0,0,0,0,0,0,0,0,0,0
"Q5VUB5","FAM171A1",0,0,0,0,0,0,0,0,0,0,0,0
"Q5VUJ6-2;Q5VUJ6","LRCH2",8076600,13017000,11372000,6713600,4331700,7768900,13806000,23454000,22442000,16926000,19299000,14410000
"Q5VUM1","SDHAF4",57606000,25098000,37468000,28312000,0,0,0,0,17692000,0,0,0
"Q5VV42;Q5VV42-2;Q5VV42-3","CDKAL1",25267000,41233000,30775000,23310000,30643000,25363000,39765000,48452000,46875000,16141000,40646000,28105000
"Q5VVQ6-2;Q5VVQ6","YOD1",0,0,0,0,0,0,0,0,0,0,0,0
"Q5VW32;Q5VW32-2","BROX",13880000,7904900,9735400,19454000,14707000,46234000,18514000,9974800,10248000,19721000,11790000,15156000
"Q5VWJ9","SNX30",0,0,0,0,0,0,0,0,0,0,0,0
"Q5VWZ2;Q5VWZ2-2","LYPLAL1",52400000,49534000,49212000,31246000,33450000,24407000,51006000,40734000,37949000,29590000,21378000,24991000
"Q5VYK3","ECM29",35437000,20648000,12641000,20083000,19287000,101130000,11828000,34198000,35520000,48914000,31234000,23608000
"Q5VZ89-3;Q5VZ89;Q5VZ89-7;Q5VZ89-5","DENND4C",0,0,0,0,0,0,0,0,0,0,0,0
